movement speed: 0.2 | turn speed: 0.2 | turn resolution: 0.1 | goal resolution: 0.1husky position: 0.0 , 0.0 | husky orientation: 0.0 | angle to goal: 0.0
husky position: 0.0 , 0.0 | husky orientation: -0.641688 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.641833 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.642125 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.642367 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.642561 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.642853 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.643047 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.643387 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.643581 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.643775 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.644018 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.644309 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.644503 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.644697 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.645037 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.645231 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.645522 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.645814 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.645959 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.646251 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.646493 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.646687 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.646979 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.647173 | angle to goal: 1.570796
